modalidade,municipio,uf,publicado,dias,dias_uteis,contado_de,verbatim,fonte,arquivos,pncp
Pregão,Caracol,MS,2026-09-14,10,False,LIQUIDACAO,"ssegurada ao contratado a ampla defesa. 7.16. Havendo a efetiva execução do objeto, os pagamentos serão realizados normalmente, até que se decida pela rescisão do contrato. Prazo de pagamento 7.17. O pagamento será efetuado no prazo de até 10 (dez) dias úteis contados da finalização da liquidação da",Edital 84p,200 on attempt 1,33736908000117-1-000002/2026
Pregão,São Sebastião,AL,2026-09-11,30,False,ATESTO,"ou indiretas, relacionadas com o fornecimento do objeto da presente licitação, ou que venham a implicar no fiel cumprimento do Contrato, não cabendo à Municipalidade, nenhum custo adicional. 16.3. Os pagamentos serão efetuados, em até 30 (trinta) dias, após a aceitação e atesto das Notas Fiscais/Fat",Edital 51p,200 on attempt 1,12247631000199-1-000064/2026
Pregão,Brumado,BA,2026-09-09,,,,,Edital 124p,200 on attempt 1,14105704000133-1-000118/2026
Pregão,Porto Velho,RO,2026-09-09,30,False,ATESTO,"ompanhada das devidas requisições que deram origem ao fornecimento pela contratada, devidamente atestadas pela Administração, conforme disposto no art. 141 da Lei nº 14.133 de 2021; 7.2. O prazo para pagamento da Nota Fiscal, devidamente atestada pela CONTRATANTE, será de 30 (trinta) dias, contados ",Termo de Referência 18p,200 on attempt 1,05903125000145-1-000261/2026
Pregão,Chã de Alegria,PE,2026-09-09,10,False,ATESTO," fortuito e força maior. 10.3 Os produtos deverão ser entregues no Centro de Convivência do Idoso, Cozinha Comunitária 1, situada à Rua Manoel Serafim de Mendonça, S/N°, PE 040, Vila do Campo. 10.4 O pagamento será efetuado pela Prefeitura Municipal, no prazo de até 10 (dez) dias, após a apresentaçã",Edital 44p,200 on attempt 1,13145986000130-1-000010/2026
Pregão,Alvorada do Sul,PR,2026-09-09,,,,,Edital 68p,200 on attempt 1,75132860000188-1-000079/2026
Pregão,Santa Bárbara,MG,2026-09-08,,,,,Edital 69p,200 on attempt 1,19391945000100-1-000166/2026
Pregão,Nerópolis,GO,2026-09-08,30,False,NOTA FISCAL,"o, sem ônus ao contratante; 7.1.4. A nota fiscal ou instrumento de cobrança equivalente deverá ser obrigatoriamente acompanhado da comprovação da regularidade fiscal; 7.2. Prazo de pagamento 7.2.1. O pagamento será efetuado no prazo de até 30 (trinta) dias úteis contados da finalização da liquidação",Termo de Referência 15p,200 on attempt 1,14656327000120-1-000023/2026
Pregão,Petrolândia,PE,2026-09-08,,,,,Edital text,200 on attempt 1,10106235000116-1-000085/2026
Pregão,Campo Verde,MT,2026-09-03,,,,,Edital text,200 on attempt 1,24950495000188-1-000132/2026
Pregão,Campo Verde,MT,2026-09-03,30,False,ATESTO,"id8091474\charrsid3356895 \hich\af39\dbch\af39\loch\f39 }{\rtlch\fcs1 \af39\afs21 \ltrch\fcs0 \fs21\lang22\langfe1046\langnp22\insrsid5902499\charrsid3356895 \hich\af39\dbch\af39\loch\f39 \hich\f39 O pagamento ser\'e1\loch\f39 \hich\f39 realizado em at\'e9\loch\f39 30 dias, contados do recebimento d",Edital text,200 on attempt 1,24950495000188-1-000127/2026
